type,id,name,artist_name,shareUrl,addedAt,durationMs,durationText,discNumber,trackNumber,album_name,album_id,trackCount
track,3Ua0m0YmEjrMi9XErKcNiR,Like Crazy,Jimin,https://open.spotify.com/track/3Ua0m0YmEjrMi9XErKcNiR,2023-06-30T10:18:05Z,212241,03:32,1,3,FACE,4xc3Lc9yASZgEJGH7acWMB,6
track,1haJsMtoBhHfvuM7XWuT3W,El Azul,Junior H,https://open.spotify.com/track/1haJsMtoBhHfvuM7XWuT3W,2023-06-30T10:18:05Z,187225,03:07,1,1,El Azul,2szyIt0ulaHnKxxyrlUCDB,1
track,2LBqCSwhJGcFQeTHMVGwy3,Die For You,The Weeknd,https://open.spotify.com/track/2LBqCSwhJGcFQeTHMVGwy3,2023-06-30T10:18:05Z,260253,04:20,1,17,Starboy,4AdZV63ycxFLF6Hcol0QnB,18
track,1p80LdxRV74UKvL8gnD7ky,Blank Space,Taylor Swift,https://open.spotify.com/track/1p80LdxRV74UKvL8gnD7ky,2023-06-30T10:18:05Z,231826,03:51,1,2,1989,2QJmrSgbdM35R67eoGQo4j,13
track,4W4fNrZYkobj539TOWsLO2,Die For You (with Ariana Grande) - Remix,The Weeknd,https://open.spotify.com/track/4W4fNrZYkobj539TOWsLO2,2023-06-30T10:18:05Z,232857,03:52,1,19,Starboy (Deluxe),35dut3ICqF3NEDkjxfzJJ1,21
track,4JdSXF2p71cr8uCY3UiJM0,Frágil,Yahritza Y Su Esencia,https://open.spotify.com/track/4JdSXF2p71cr8uCY3UiJM0,2023-06-30T10:18:05Z,160517,02:40,1,1,Frágil,6iZUwDpa27jeAvKxs8UYI2,1
track,741UUVE2kuITl0c6zuqqbO,Barbie World (with Aqua) [From Barbie The Album],Nicki Minaj,https://open.spotify.com/track/741UUVE2kuITl0c6zuqqbO,2023-06-30T10:18:05Z,109750,01:49,1,1,Barbie World (with Aqua) [From Barbie The Album],5CM66hwjlbZ06LhONWXOAs,1
track,609E1JCInJncactoMmkDon,BESO,ROSALÍA,https://open.spotify.com/track/609E1JCInJncactoMmkDon,2023-06-30T10:18:05Z,194543,03:14,1,1,RR,50uChhk7AKkzDKytDixjYW,3
track,4h9wh7iOZ0GGn8QVp4RAOB,I Ain't Worried,OneRepublic,https://open.spotify.com/track/4h9wh7iOZ0GGn8QVp4RAOB,2023-06-30T10:18:05Z,148485,02:28,1,1,"I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")",04PEOM6kIEeq9lRp1asNP2,1
track,0fABszUFNbNq9IW503Gj8v,Tá OK,DENNIS,https://open.spotify.com/track/0fABszUFNbNq9IW503Gj8v,2023-06-30T10:18:05Z,92093,01:32,1,1,Tá OK,41iAYv4hU3BL86F0sOTvqp,1
track,7MXVkk9YMctZqd1Srtv4MB,Starboy,The Weeknd,https://open.spotify.com/track/7MXVkk9YMctZqd1Srtv4MB,2023-06-30T10:18:05Z,230453,03:50,1,1,Starboy,2ODvWsOgouMbaA5xf0RkJe,18
track,6WzRpISELf3YglGAh7TXcG,Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,The Weeknd,https://open.spotify.com/track/6WzRpISELf3YglGAh7TXcG,2023-06-30T10:18:05Z,215466,03:35,1,1,Popular (Music from the HBO Original Series),5O0zUvdnJr0RbWzLFneN2i,1
track,4lIxdJw6W3Fg4vUIYCB0S5,Style,Taylor Swift,https://open.spotify.com/track/4lIxdJw6W3Fg4vUIYCB0S5,2023-06-30T10:18:05Z,231000,03:51,1,3,1989,2QJmrSgbdM35R67eoGQo4j,13
track,5IAESfJjmOYu7cHyX557kz,Take Two,BTS,https://open.spotify.com/track/5IAESfJjmOYu7cHyX557kz,2023-06-30T10:18:05Z,229953,03:49,1,1,Take Two,3jeQDa9OFZ6GndLindHx3k,1
track,26b3oVLrRUaaybJulow9kz,People,Libianca,https://open.spotify.com/track/26b3oVLrRUaaybJulow9kz,2023-06-30T10:18:05Z,184791,03:04,1,1,People,5Hmh6N8oisrcuZKa8EY5dn,1
track,3JvKfv6T31zO0ini8iNItO,Another Love,Tom Odell,https://open.spotify.com/track/3JvKfv6T31zO0ini8iNItO,2023-06-30T10:18:05Z,244360,04:04,1,3,Long Way Down (Deluxe),0Gf1yE895FKK4YWVRuAeg8,15
track,4rXLjWdF2ZZpXCVTfWcshS,fukumean,Gunna,https://open.spotify.com/track/4rXLjWdF2ZZpXCVTfWcshS,2023-06-30T10:18:05Z,125040,02:05,1,6,a Gift & a Curse,5qmZefgh78fN3jsyPPlvuw,15
track,4FAKtPVycI4DxoOHC01YqD,Yandel 150,Yandel,https://open.spotify.com/track/4FAKtPVycI4DxoOHC01YqD,2023-06-30T10:18:05Z,216148,03:36,1,4,Resistencia,5xefnzEqKIWnmTWYFzekGZ,17
track,3tt9i3Hhzq84dPS8H7iSiJ,La Bachata,Manuel Turizo,https://open.spotify.com/track/3tt9i3Hhzq84dPS8H7iSiJ,2023-06-30T10:18:05Z,162637,02:42,1,9,2000,7ubO2LZJZFpyhiWMZkRwcH,15
